unit_id,time,year,group,first_treat,treated,Y,rel_time
1,1,2001,Jamais_traite,,0,3.9903095973704668,
1,2,2002,Jamais_traite,,0,3.1865602984568997,
1,3,2003,Jamais_traite,,0,5.3744162768497015,
1,4,2004,Jamais_traite,,0,4.432832380222292,
1,5,2005,Jamais_traite,,0,6.7254806917335825,
1,6,2006,Jamais_traite,,0,4.815379303418564,
1,7,2007,Jamais_traite,,0,5.419447337264355,
1,8,2008,Jamais_traite,,0,5.706740229387766,
1,9,2009,Jamais_traite,,0,6.465955104809467,
1,10,2010,Jamais_traite,,0,7.212017450196442,
1,11,2011,Jamais_traite,,0,7.113744453294644,
1,12,2012,Jamais_traite,,0,10.133276660426498,
1,13,2013,Jamais_traite,,0,7.578247324822601,
1,14,2014,Jamais_traite,,0,11.609983344119948,
1,15,2015,Jamais_traite,,0,7.31790866205643,
1,16,2016,Jamais_traite,,0,7.709995666545964,
1,17,2017,Jamais_traite,,0,9.957562897478942,
1,18,2018,Jamais_traite,,0,11.0993394637696,
1,19,2019,Jamais_traite,,0,9.930283105996425,
1,20,2020,Jamais_traite,,0,13.187395887311409,
1,21,2021,Jamais_traite,,0,12.581972919741489,
1,22,2022,Jamais_traite,,0,11.69166965053411,
1,23,2023,Jamais_traite,,0,10.374105924603,
1,24,2024,Jamais_traite,,0,11.375298251899194,
2,1,2001,Jamais_traite,,0,2.255765843185377,
2,2,2002,Jamais_traite,,0,3.5393425903368536,
2,3,2003,Jamais_traite,,0,5.218103123531147,
2,4,2004,Jamais_traite,,0,7.95439380410097,
2,5,2005,Jamais_traite,,0,5.930337082173828,
2,6,2006,Jamais_traite,,0,11.604027109456018,
2,7,2007,Jamais_traite,,0,7.750367093769208,
2,8,2008,Jamais_traite,,0,7.163780102679126,
2,9,2009,Jamais_traite,,0,6.7044545674686855,
2,10,2010,Jamais_traite,,0,9.663231751437452,
2,11,2011,Jamais_traite,,0,7.2422929856939895,
2,12,2012,Jamais_traite,,0,6.8206236041215735,
2,13,2013,Jamais_traite,,0,9.89355497185213,
2,14,2014,Jamais_traite,,0,9.517726389646977,
2,15,2015,Jamais_traite,,0,11.31302715505126,
2,16,2016,Jamais_traite,,0,9.523562862617187,
2,17,2017,Jamais_traite,,0,5.042001585740606,
2,18,2018,Jamais_traite,,0,12.972486326443335,
2,19,2019,Jamais_traite,,0,6.6408675242209805,
2,20,2020,Jamais_traite,,0,14.686272410366037,
2,21,2021,Jamais_traite,,0,14.95130743827154,
2,22,2022,Jamais_traite,,0,10.854017081494778,
2,23,2023,Jamais_traite,,0,9.7226656216578,
2,24,2024,Jamais_traite,,0,9.787669894189369,
3,1,2001,Jamais_traite,,0,1.8466759028550044,
3,2,2002,Jamais_traite,,0,2.5977173116951153,
3,3,2003,Jamais_traite,,0,8.7162426249438,
3,4,2004,Jamais_traite,,0,4.50990657727952,
3,5,2005,Jamais_traite,,0,5.802202611641441,
3,6,2006,Jamais_traite,,0,6.803712404015904,
3,7,2007,Jamais_traite,,0,6.640054079378656,
3,8,2008,Jamais_traite,,0,7.2029529891479,
3,9,2009,Jamais_traite,,0,4.3210131712881195,
3,10,2010,Jamais_traite,,0,5.454581186986232,
3,11,2011,Jamais_traite,,0,4.368278312785158,
3,12,2012,Jamais_traite,,0,5.212627714100081,
3,13,2013,Jamais_traite,,0,9.206388671014098,
3,14,2014,Jamais_traite,,0,6.654782321600055,
3,15,2015,Jamais_traite,,0,6.942686640790293,
3,16,2016,Jamais_traite,,0,6.4511804758576305,
3,17,2017,Jamais_traite,,0,7.7406556366538934,
3,18,2018,Jamais_traite,,0,11.13631306491714,
3,19,2019,Jamais_traite,,0,7.6715729688727,
3,20,2020,Jamais_traite,,0,8.810603405887932,
3,21,2021,Jamais_traite,,0,10.461776942760666,
3,22,2022,Jamais_traite,,0,10.875138168052889,
3,23,2023,Jamais_traite,,0,11.802998336256264,
3,24,2024,Jamais_traite,,0,11.089430508211432,
4,1,2001,Jamais_traite,,0,-3.422924918981855,
4,2,2002,Jamais_traite,,0,-2.3421471847648054,
4,3,2003,Jamais_traite,,0,-4.616703102089838,
4,4,2004,Jamais_traite,,0,1.3947040733323641,
4,5,2005,Jamais_traite,,0,-5.617002636111662,
4,6,2006,Jamais_traite,,0,-0.7591753749321632,
4,7,2007,Jamais_traite,,0,-2.767856856874304,
4,8,2008,Jamais_traite,,0,-3.3569942973308926,
4,9,2009,Jamais_traite,,0,-0.08876833048829513,
4,10,2010,Jamais_traite,,0,-2.140882568671467,
4,11,2011,Jamais_traite,,0,-6.244423829992918,
4,12,2012,Jamais_traite,,0,-3.16258184679177,
4,13,2013,Jamais_traite,,0,0.37571022123575315,
4,14,2014,Jamais_traite,,0,4.671245521379949,
4,15,2015,Jamais_traite,,0,-3.324508157877085,
4,16,2016,Jamais_traite,,0,0.33996340633224564,
4,17,2017,Jamais_traite,,0,4.3659491476956305,
4,18,2018,Jamais_traite,,0,3.310598698039843,
4,19,2019,Jamais_traite,,0,0.34821214563112557,
4,20,2020,Jamais_traite,,0,-0.531984436976169,
4,21,2021,Jamais_traite,,0,-1.5506200932378782,
4,22,2022,Jamais_traite,,0,0.9153728203510134,
4,23,2023,Jamais_traite,,0,2.0183549215911616,
4,24,2024,Jamais_traite,,0,-1.2133137716883047,
5,1,2001,Jamais_traite,,0,-5.2206945711939845,
5,2,2002,Jamais_traite,,0,-5.871210131452588,
5,3,2003,Jamais_traite,,0,-3.721930745473702,
5,4,2004,Jamais_traite,,0,-5.255287263926288,
5,5,2005,Jamais_traite,,0,-1.2803245374072318,
5,6,2006,Jamais_traite,,0,1.0836996893896966,
5,7,2007,Jamais_traite,,0,1.304337205498574,
5,8,2008,Jamais_traite,,0,-0.9462598334569416,
5,9,2009,Jamais_traite,,0,-0.20985441511823888,
5,10,2010,Jamais_traite,,0,1.3650420863625237,
5,11,2011,Jamais_traite,,0,1.9205908936341887,
5,12,2012,Jamais_traite,,0,2.1192582747587974,
5,13,2013,Jamais_traite,,0,1.9018343424157464,
5,14,2014,Jamais_traite,,0,-1.057117248061878,
5,15,2015,Jamais_traite,,0,-3.544513309437606,
